UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,1062.42,1730.38,0.00,230
UE2,8518.61,60.01,0.00,240
UE3,12340.33,37.17,0.00,240
UE4,986.72,2078.08,0.00,179
UE5,7564.09,65.27,0.00,240
UE6,12573.05,34.10,0.00,240
UE7,9864.93,47.94,0.00,240
UE8,9217.88,52.73,0.00,240
UE9,299.97,2807.98,0.00,131
UE10,161.60,3219.18,0.00,115
UE11,159.43,3256.56,0.00,108
UE12,183.15,2912.90,0.00,116
UE13,139.55,3591.65,0.00,92
UE14,139.07,3403.38,0.00,93
UE15,136.99,3886.18,0.00,78
UE16,133.82,3764.46,0.00,78
UE17,129.99,4080.12,0.00,69
UE18,12611.79,34.16,0.00,240
UE19,141.55,3568.81,0.00,72
UE20,7972.24,64.20,0.00,240
OVERALL,6078.17,1241.92,0.00,3281
