bitrate,packetlost,rtt,server
1582.15524349246,0,317.718505859375,edge2
2504.2492823407674,0,286.39960289001465,edge2
1512.637993287947,0,159.1339111328125,edge2
3268.0764104364325,0,257.26938247680664,edge2
4114.949283140598,0,129.78434562683105,edge2
3341.246623797677,0,135.41293144226074,edge2
2044.4035979191617,0,160.04276275634766,edge2
4020.132414074935,0,269.7741985321045,edge2
1872.500055604833,0,255.08570671081543,edge2
2312.9926931275313,0,197.282075881958,edge2
3063.3018617688513,0,217.01550483703613,edge2
1716.4342684448636,0,578.4876346588135,edge2
1585.3008939058975,0,238.01159858703613,edge2
1753.5918889273055,0,228.93810272216797,edge2
2493.6686277251006,0,236.23347282409668,edge2
1788.1371849500033,0,106.03213310241699,edge2
2227.2963050432663,0,315.0618076324463,edge2
1407.5277707452708,0,237.34664916992188,edge2
1801.1301982892633,0,129.44316864013672,edge2
1903.2861972270855,0,279.71410751342773,edge2
1832.9173374240145,0,271.0564136505127,edge2
1474.536709210725,0,306.58578872680664,edge2
1255.3481407273339,0,350.92735290527344,edge2
1701.1463921509433,0,303.2684326171875,edge2
1210.8955981668876,0,266.73150062561035,edge2
843.3880791593349,0,298.89917373657227,edge2
1350.812308712243,0,436.7327690124512,edge2
1262.226956626685,0,275.77924728393555,edge2
990.6319976530701,0,245.43523788452148,edge2
3486.376897520426,0,269.8342800140381,edge2
893.9781338603638,0,261.5365982055664,edge2
3248.0353680517014,0,264.18185234069824,edge2
2191.775624419276,0,230.78274726867676,edge2
1211.4108927621278,0,270.10488510131836,edge2
2105.411436632253,0,244.32659149169922,edge2
2132.215511766198,0,235.0306510925293,edge2
1832.957162564192,0,229.9060821533203,edge2
2435.816068177727,0,230.4673194885254,edge2
1694.1016795400926,0,247.300386428833,edge2
1551.26706374775,0,214.6890163421631,edge2
2139.3553095193206,0,179.58307266235352,edge2
1866.293210139934,0,207.59010314941406,edge2
1831.8225049774032,0,218.3530330657959,edge2
1327.4543522816741,0,363.3842468261719,edge2
1375.4799841754555,0,156.93140029907227,edge2
1638.100785320686,0,270.02978324890137,edge2
1308.5537903070228,0,214.54524993896484,edge2
1462.8611067278614,0,180.62138557434082,edge2
2710.2416518509995,0,283.8418483734131,edge2
1550.834444400863,0,311.21826171875,edge2
765.7537734375218,0,1195.6114768981934,edge2
918.4409337242449,0,798.6490726470947,edge2
695.2921211914817,0,627.281665802002,edge2
965.9411581927845,0,380.2633285522461,edge2
696.45824576024,0,411.9701385498047,edge2
497.5891647719792,0,360.32938957214355,edge2
908.5650137484658,0,589.818000793457,edge2
853.4928793483473,0,458.4174156188965,edge2
980.1613542025397,0,295.75538635253906,edge2
479.7014634604424,0,562.6165866851807,edge2
278.9282145558898,0,773.1595039367676,edge2
224.41515094840773,0,672.3253726959229,edge2
328.2807212727831,0,876.8105506896973,edge2
479.5866795720873,0,1937.535047531128,edge2
424.4888411596547,0,681.553840637207,edge2
453.4822398010956,0,587.6305103302002,edge2
422.9944167503513,0,525.6428718566895,edge2
592.6940487251575,0,717.1862125396729,edge2
551.5262160385043,0,752.7475357055664,edge2
565.1749542934223,0,968.9459800720215,edge2
345.48164143653696,0,1284.8613262176514,edge2
349.32203847930407,0,1290.4081344604492,edge2
301.5303666025739,0,1693.9189434051514,edge2
325.7401334622405,0,1013.0529403686523,edge2
253.0957962035106,0,894.017219543457,edge2
546.433703095579,0,993.584394454956,edge2
238.26470647948318,0,771.2094783782959,edge2
395.33173111624404,0,881.2851905822754,edge2
440.40022669195827,0,599.4184017181396,edge2
330.64809541918754,0,1412.353515625,edge2
257.1798387794528,0,1161.2107753753662,edge2
422.14009472253395,0,694.0634250640869,edge2
297.91838839114604,0,1341.0921096801758,edge2
146.25318001053324,0,1985.980749130249,edge2
297.86274990660485,0,908.7944030761719,edge2
190.21245723055472,0,390.5527591705322,edge2
272.98055915638645,0,1105.661153793335,edge2
585.0173682057256,0,782.7596664428711,edge2
248.1213660623656,0,1572.7787017822266,edge2
208.05162033638194,0,1010.4415416717529,edge2
280.1939791179592,0,779.716968536377,edge2
434.73441702678076,0,1517.3401832580566,edge2
266.33389223197446,0,1097.1791744232178,edge2
379.48218573515993,0,1620.903491973877,edge2
893.8196291861599,0,275.5007743835449,edge2
220.18170444198645,0,1827.6541233062744,edge2
474.73711188680284,0,1039.2951965332031,edge2
331.8763646141716,0,804.3718338012695,edge2
488.6971839991849,0,1113.9004230499268,edge2
68.75234063510219,0,2283.442258834839,edge2
458.7699428706317,0,1282.716989517212,edge2
312.8483565959179,0,1287.9083156585693,edge2
673.3908884399192,0,1096.5280532836914,edge2
860.8591049894333,0,398.4670639038086,edge2
451.27486740715636,0,258.20183753967285,edge2
401.84794010307473,0,930.2225112915039,edge2
572.4617632016395,0,769.1972255706787,edge2
654.1529380598324,0,427.92439460754395,edge2
778.4684083194072,0,1678.5061359405518,edge2
500.0897828699634,0,720.9105491638184,edge2
742.1114749179559,0,520.751953125,edge2
563.8911742005959,0,515.9718990325928,edge2
467.28533620906677,0,707.4735164642334,edge2
918.5680208072478,0,798.9740371704102,edge2
303.85161105234283,0,826.0347843170166,edge2
413.7468061658218,0,1113.415241241455,edge2
837.4458319705507,0,817.6863193511963,edge2
713.9618290451283,0,879.3859481811523,edge2
806.0952858384255,0,514.162540435791,edge2
321.24806434732074,0,758.9399814605713,edge2
609.6274503587518,0,996.7005252838135,edge2
