UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,931.21,992.06,0.00,240
UE2,6114.92,153.76,0.00,240
UE3,11739.86,39.34,0.00,240
UE4,738.79,1322.36,0.00,240
UE5,5433.05,144.98,0.00,240
UE6,8113.02,67.13,0.00,240
UE7,353.02,1429.94,0.00,240
UE8,3446.91,224.19,0.00,240
UE9,9193.25,53.43,0.00,240
UE10,388.03,1417.44,0.00,240
UE11,6230.44,108.98,0.00,240
UE12,11125.41,43.68,0.00,240
UE13,563.47,1305.82,0.00,240
UE14,2583.41,228.94,0.00,240
UE15,10400.84,45.68,0.00,240
UE16,793.71,1230.68,0.00,240
UE17,5858.87,147.73,0.00,240
UE18,9875.37,52.01,0.00,240
OVERALL,5215.76,500.45,0.00,4320
