UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,58.41,4344.99,6.11,0.00,3.35,242
UE2,59.02,4320.75,7.16,0.00,3.36,243
UE3,56.39,4178.33,8.48,0.00,3.28,242
UE4,57.35,4321.74,10.75,0.00,3.31,242
UE5,58.22,4340.11,13.75,0.00,3.33,242
UE6,58.36,4324.65,13.47,0.00,3.33,242
OVERALL,57.96,4305.11,9.95,0.00,3.33,1453
