t_arrive,watch_s,ue_id
135.161,196,ue1
160.834,177,ue2
219.216,1073,ue3
241.044,63,ue4
259.824,16,ue5
301.05,1177,ue6
310.338,341,ue7
319.813,637,ue8
352.379,116,ue9
353.612,40,ue10
446.494,49,ue11
484.665,196,ue12
508.154,300,ue13
513.526,266,ue14
516.144,57,ue15
561.12,50,ue16
566.924,164,ue17
