UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,652.97,1970.04,0.00,212
UE2,521.67,1889.79,0.00,216
UE3,326.56,2102.66,0.00,197
UE4,221.33,2516.42,0.00,163
UE5,7074.17,77.94,0.00,240
UE6,7506.36,75.68,0.00,240
UE7,197.24,2525.16,0.00,149
UE8,6952.91,80.28,0.00,240
UE9,5784.47,97.56,0.00,240
UE10,196.13,2551.52,0.00,135
UE11,7886.21,63.59,0.00,240
UE12,7092.62,81.23,0.00,240
UE13,177.81,2630.89,0.00,115
UE14,10358.16,47.28,0.00,240
UE15,12159.06,36.19,0.00,240
UE16,169.98,3062.69,0.00,88
UE17,178.00,2832.99,0.00,91
UE18,11866.05,36.64,0.00,240
OVERALL,5349.46,948.37,0.00,3526
