UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge2,7121.28,72.65,0.00,288
UE2,edge1,5724.48,93.51,0.00,294
UE3,edge1,7613.51,67.13,0.00,370
UE4,edge3,1192.14,480.81,0.00,33
UE5,edge1,6158.75,89.96,0.00,396
UE6,edge3,405.73,2394.58,0.00,484
UE7,edge2,7792.78,65.86,0.00,127
UE8,edge1,7167.33,84.79,0.00,5
UE9,edge3,325.27,1510.88,0.00,141
UE10,edge1,7055.63,75.78,0.00,221
UE11,edge3,115.98,5446.00,0.00,2
UE12,edge3,186.40,3000.03,0.00,401
UE13,edge2,3575.48,426.69,0.00,409
UE14,edge3,143.85,4137.67,0.00,130
UE15,edge1,6393.98,85.87,0.00,268
UE16,edge2,2965.94,492.40,0.00,346
UE17,edge2,2460.74,466.37,0.00,223
UE18,edge3,235.73,2751.33,0.00,418
UE19,edge3,103.49,5863.57,0.00,37
UE20,edge3,527.61,1997.61,0.00,597
UE21,edge3,99.60,4810.37,0.00,118
UE22,edge2,3176.88,326.93,0.00,714
UE23,edge2,3702.68,287.24,0.00,812
UE24,edge2,956.76,700.25,0.00,214
UE25,edge3,136.03,4116.95,0.00,158
UE26,edge2,4065.94,411.06,0.00,369
UE27,edge3,79.84,6220.20,0.00,65
UE28,edge3,97.62,5005.06,0.00,93
UE29,edge1,7481.37,68.62,0.00,352
UE30,edge1,6827.05,76.49,0.00,68
OVERALL,,3341.50,1127.32,0.00,8153
