UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,456.61,2796.47,0.00,106
UE2,edge3,153.34,7494.36,0.00,153
UE3,edge3,79.79,7783.68,0.00,227
UE4,edge3,76.06,8603.97,0.00,86
UE5,edge3,117.70,6450.29,0.00,56
UE6,edge3,91.53,7103.60,0.00,54
UE7,edge3,79.50,9075.05,0.00,42
UE8,edge3,62.29,9902.35,0.00,102
UE9,edge3,74.39,7665.34,0.00,279
UE10,edge3,63.99,10826.33,0.00,21
UE11,edge3,66.62,8893.47,0.00,21
UE12,edge3,48.15,11221.69,0.00,65
UE13,edge3,48.64,12195.95,0.00,47
UE14,edge3,51.78,11656.45,0.00,43
UE15,edge3,37.02,15797.18,0.00,11
UE16,edge3,41.47,12323.92,0.00,79
UE17,edge3,67.03,8180.60,0.00,219
UE18,edge3,64.60,8946.05,0.00,151
UE19,edge3,44.03,11086.40,0.00,99
UE20,edge3,41.11,15345.76,0.00,19
UE21,edge3,72.25,8627.83,0.00,3
UE22,edge3,41.62,13280.27,0.00,28
UE23,edge3,45.17,11364.31,0.00,65
UE24,edge3,49.14,10873.99,0.00,82
UE25,edge3,57.82,9340.03,0.00,139
UE26,edge3,98.06,6621.11,0.00,315
UE27,edge3,132.55,5488.11,0.00,415
UE28,edge3,329.48,2965.12,0.00,904
UE29,edge3,50.37,14165.83,0.00,12
UE30,edge3,83.76,7109.15,0.00,269
UE31,edge3,115.11,5728.62,0.00,360
UE32,edge3,46.40,12738.86,0.00,32
UE33,edge3,88.91,6206.91,0.00,281
UE34,edge3,578.61,2151.56,0.00,1252
OVERALL,,231.53,5877.36,0.00,6037
