UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,59.91,4330.00,6.38,0.00,3.83,243
UE2,59.86,4328.37,6.75,0.00,3.84,242
UE3,59.44,4352.40,8.85,0.00,3.83,241
UE4,59.85,4319.88,9.76,0.00,3.84,242
UE5,59.67,4318.31,10.33,0.00,3.82,241
UE6,59.95,4351.01,9.12,0.00,3.83,230
OVERALL,59.78,4333.18,8.52,0.00,3.83,1439
