UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,32.17,2524.98,10.30,0.00,2.38,641
UE2,56.56,1873.66,7.75,0.00,3.03,9
UE3,23.49,1928.58,18.86,0.00,2.02,304
UE4,26.17,199.62,21.15,0.00,1.10,6
UE5,16.10,1408.71,25.78,0.00,1.30,118
UE6,9.02,878.29,34.81,0.00,1.03,186
UE7,14.31,1343.31,34.35,0.00,1.34,297
UE8,11.62,1153.03,37.26,0.00,1.27,263
UE9,45.25,4042.06,21.77,0.00,3.14,531
OVERALL,26.90,2293.42,22.77,0.00,1.85,2355
