UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,1189.68,474.68,0.00,213
UE2,edge2,4603.38,154.33,0.00,153
UE3,edge1,7288.58,71.22,0.00,227
UE4,edge2,6346.51,97.58,0.00,229
UE5,edge2,8264.83,68.84,0.00,56
UE6,edge2,3592.64,149.96,0.00,126
UE7,edge1,3956.93,170.18,0.00,797
UE8,edge1,5811.11,92.96,0.00,102
UE9,edge1,5707.31,99.41,0.00,279
UE10,edge1,4476.27,129.98,0.00,96
UE11,edge1,6258.73,85.91,0.00,191
UE12,edge1,5185.51,112.23,0.00,65
UE13,edge1,4629.39,123.21,0.00,271
UE14,edge1,5078.56,116.60,0.00,140
UE15,edge1,3568.10,169.68,0.00,959
UE16,edge1,5933.70,95.18,0.00,79
UE17,edge2,2869.38,227.04,0.00,219
UE18,edge2,4965.88,164.11,0.00,151
UE19,edge1,4878.59,118.92,0.00,99
UE20,edge1,5398.30,95.10,0.00,113
UE21,edge1,2611.72,210.46,0.00,375
UE22,edge2,4091.80,169.05,0.00,111
UE23,edge2,2401.23,310.84,0.00,65
UE24,edge2,3064.98,266.28,0.00,82
UE25,edge2,4130.38,177.41,0.00,139
UE26,edge1,3798.61,180.03,0.00,315
UE27,edge1,3450.47,176.49,0.00,415
UE28,edge1,4692.76,123.97,0.00,904
UE29,edge2,5233.34,130.76,0.00,34
UE30,edge2,4470.35,194.19,0.00,269
UE31,edge2,3035.20,257.76,0.00,360
UE32,edge2,9247.61,62.12,0.00,33
UE33,edge2,2766.08,239.92,0.00,281
UE34,edge2,7125.91,75.13,0.00,1252
OVERALL,,4605.70,155.59,0.00,9200
