UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,12151.08,35.92,0.00,240
UE2,7682.67,71.34,0.00,240
UE3,960.58,1130.59,0.00,240
UE4,4017.29,196.33,0.00,240
UE5,8007.96,63.23,0.00,240
UE6,12392.21,35.68,0.00,240
UE7,7818.41,64.18,0.00,240
UE8,495.54,1580.24,0.00,240
UE9,344.82,1659.48,0.00,240
UE10,4263.46,135.58,0.00,240
UE11,274.15,1753.64,0.00,240
UE12,11824.68,38.05,0.00,240
UE13,2408.78,226.58,0.00,240
UE14,342.63,1624.52,0.00,240
UE15,10780.52,46.43,0.00,240
UE16,8355.28,61.45,0.00,240
UE17,629.91,1535.82,0.00,240
UE18,10544.82,49.48,0.00,240
UE19,11944.27,37.35,0.00,240
UE20,758.66,1403.06,0.00,240
OVERALL,5799.89,587.45,0.00,4800
