UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,1141.63,500.59,0.00,164
UE2,edge2,7406.26,71.96,0.00,80
UE3,edge1,5668.61,93.29,0.00,331
UE4,edge2,5022.87,122.11,0.00,100
UE5,edge1,5691.73,95.81,0.00,117
UE6,edge2,6877.22,77.50,0.00,376
UE7,edge1,7507.30,72.12,0.00,52
UE8,edge2,6879.26,76.41,0.00,270
UE9,edge2,7051.79,73.52,0.00,254
UE10,edge2,8293.06,68.18,0.00,42
UE11,edge2,5570.01,111.31,0.00,106
OVERALL,,6018.90,121.04,0.00,1892
