UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,1335.40,451.95,0.00,107
UE2,edge2,7703.02,69.10,0.00,83
UE3,edge1,5828.51,90.89,0.00,335
UE4,edge3,1356.69,449.71,0.00,25
UE5,edge2,7597.90,73.66,0.00,18
UE6,edge1,6585.25,80.05,0.00,562
UE7,edge3,1306.94,415.05,0.00,73
UE8,edge2,7620.16,67.47,0.00,62
UE9,edge1,6113.74,87.07,0.00,509
UE10,edge3,580.97,964.13,0.00,293
UE11,edge2,7496.02,66.97,0.00,285
UE12,edge1,5936.49,90.88,0.00,233
UE13,edge3,325.46,1570.03,0.00,49
UE14,edge2,4726.39,126.32,0.00,228
UE15,edge1,6123.12,94.62,0.00,64
UE16,edge3,862.91,738.81,0.00,429
UE17,edge2,6116.06,97.43,0.00,173
OVERALL,,4787.31,280.40,0.00,3528
