UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,611.42,3914.00,0.00,240
UE2,edge3,476.20,4032.43,0.00,206
UE3,edge3,410.78,3082.06,0.00,123
UE4,edge3,121.44,5289.60,0.00,240
UE5,edge3,109.27,5478.24,0.00,240
UE6,edge3,108.02,5217.03,0.00,240
UE7,edge3,108.42,5150.47,0.00,240
UE8,edge3,101.37,5191.26,0.00,240
UE9,edge3,132.31,4543.43,0.00,43
UE10,edge3,98.48,5290.68,0.00,213
UE11,edge3,100.21,5347.05,0.00,240
UE12,edge3,94.78,5414.18,0.00,240
UE13,edge3,98.00,5113.37,0.00,240
UE14,edge3,97.52,5137.89,0.00,240
UE15,edge3,98.23,5279.17,0.00,240
UE16,edge3,119.24,5224.01,0.00,240
UE17,edge3,108.82,5179.14,0.00,240
UE18,edge3,97.81,5092.13,0.00,240
UE19,edge3,303.34,5093.87,0.00,240
UE20,edge3,104.38,4987.92,0.00,240
OVERALL,,168.82,5025.60,0.00,4425
