UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,1143.08,451.02,0.00,107
UE2,edge2,2753.54,166.54,0.00,83
UE3,edge1,1732.18,261.28,0.00,335
UE4,edge3,1074.97,507.32,0.00,25
UE5,edge1,1334.56,433.34,0.00,18
UE6,edge3,473.41,1419.26,0.00,562
UE7,edge3,523.38,960.61,0.00,73
UE8,edge1,1981.84,249.56,0.00,62
UE9,edge1,1635.06,278.59,0.00,509
UE10,edge1,2133.94,218.87,0.00,293
UE11,edge1,1816.92,254.69,0.00,285
UE12,edge3,238.56,2076.53,0.00,233
UE13,edge3,276.03,1894.63,0.00,49
UE14,edge1,1920.20,243.95,0.00,228
UE15,edge2,3563.85,137.23,0.00,64
UE16,edge3,437.76,1438.30,0.00,429
UE17,edge3,209.47,2405.27,0.00,173
OVERALL,,1231.16,852.06,0.00,3528
