UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,12298.14,35.58,0.00,240
UE2,1161.99,841.11,0.00,240
UE3,11839.90,38.88,0.00,240
UE4,730.90,954.08,0.00,240
UE5,4639.15,155.68,0.00,240
UE6,8531.74,59.75,0.00,240
UE7,3704.79,165.01,0.00,240
UE8,555.75,1057.57,0.00,240
UE9,9933.58,49.38,0.00,240
UE10,7852.09,65.94,0.00,240
UE11,630.23,1002.67,0.00,240
UE12,8251.10,62.47,0.00,240
UE13,10330.97,46.63,0.00,240
UE14,10587.74,46.28,0.00,240
UE15,11773.96,37.84,0.00,240
UE16,1195.60,848.30,0.00,240
UE17,4113.56,224.28,0.00,240
UE18,10718.05,42.98,0.00,240
OVERALL,6602.74,318.58,0.00,4320
