UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,18.53,2628.01,27.95,0.03,1.82,244
UE2,12.37,1753.46,38.87,-0.00,1.47,244
UE3,8.61,1293.75,44.29,-0.03,1.12,243
UE4,8.36,1264.03,50.10,0.00,1.17,244
UE5,8.82,1950.99,50.07,0.04,1.33,231
UE6,24.48,3604.94,52.97,-0.08,2.14,227
OVERALL,13.45,2066.21,43.88,-0.01,1.51,1433
