UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,36.41,2852.16,8.49,0.00,2.66,244
UE2,59.98,4323.13,6.96,0.00,3.84,244
UE3,59.94,4314.73,9.53,0.00,3.82,244
UE4,24.01,2041.54,24.28,0.00,2.05,244
UE5,59.90,4320.47,12.96,0.00,3.83,244
UE6,59.84,4318.02,12.64,0.00,3.82,243
UE7,33.92,3772.08,27.83,0.00,2.62,237
OVERALL,47.76,3705.39,14.62,0.00,3.23,1700
