UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,32.19,4301.27,18.96,0.00,2.55,244
UE2,59.69,7854.25,58.91,0.04,4.08,244
UE3,59.00,8607.87,113.02,0.10,4.06,244
UE4,17.28,2618.66,37.06,0.00,1.76,243
UE5,17.56,2781.59,42.51,0.00,1.76,244
UE6,24.11,3973.53,48.22,0.03,2.08,238
OVERALL,35.03,5028.83,53.14,0.03,2.71,1457
