UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,914.58,627.71,0.00,107
UE2,edge3,401.96,1269.35,0.00,83
UE3,edge3,238.38,3459.77,0.00,335
UE4,edge3,288.10,1937.80,0.00,25
UE5,edge3,367.72,1929.79,0.00,18
UE6,edge3,206.69,3281.72,0.00,562
UE7,edge3,180.15,3206.62,0.00,73
UE8,edge3,116.36,4811.21,0.00,62
UE9,edge3,209.26,3458.22,0.00,509
UE10,edge3,113.46,4885.26,0.00,293
UE11,edge3,114.04,4740.45,0.00,285
UE12,edge3,92.89,5398.96,0.00,233
UE13,edge3,84.94,7410.50,0.00,49
UE14,edge3,95.77,5231.00,0.00,228
UE15,edge3,79.11,6587.52,0.00,64
UE16,edge3,165.47,3697.11,0.00,429
UE17,edge3,88.77,5647.85,0.00,173
OVERALL,,190.68,4005.82,0.00,3528
