UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,1469.47,303.63,0.00,107
UE2,edge2,3635.32,128.29,0.00,83
UE3,edge3,1007.93,501.55,0.00,335
UE4,edge2,2715.36,192.86,0.00,25
UE5,edge2,2722.88,211.58,0.00,18
UE6,edge1,1924.79,239.38,0.00,562
UE7,edge2,3406.75,146.83,0.00,73
UE8,edge2,2497.14,210.72,0.00,62
UE9,edge1,1793.90,258.49,0.00,509
UE10,edge1,1797.62,255.68,0.00,293
UE11,edge2,2746.68,186.28,0.00,285
UE12,edge2,2894.32,172.99,0.00,233
UE13,edge2,1860.69,272.54,0.00,49
UE14,edge2,2966.37,163.82,0.00,228
UE15,edge1,1647.38,291.56,0.00,64
UE16,edge2,3340.87,140.28,0.00,429
UE17,edge2,2029.35,249.90,0.00,173
OVERALL,,2254.25,241.15,0.00,3528
