UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,30.91,2482.76,11.30,0.00,2.37,244
UE2,59.81,7930.04,52.37,0.05,4.10,244
UE3,59.91,8593.95,111.26,0.09,4.08,244
UE4,11.93,1088.58,28.53,0.00,1.29,244
UE5,10.33,948.66,31.55,0.00,1.12,239
UE6,12.34,1249.37,38.57,0.00,1.33,229
UE7,17.93,2102.25,35.73,0.00,1.67,242
OVERALL,29.24,3514.14,44.28,0.02,2.28,1686
