UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,504.37,1428.36,0.00,288
UE2,edge2,3205.85,145.08,0.00,294
UE3,edge1,1797.70,249.34,0.00,370
UE4,edge3,386.57,1365.07,0.00,33
UE5,edge2,3116.14,148.57,0.00,396
UE6,edge1,1892.67,240.35,0.00,484
UE7,edge3,302.65,1548.03,0.00,127
UE8,edge2,1390.21,410.32,0.00,5
UE9,edge1,1724.49,268.22,0.00,141
UE10,edge3,194.44,2707.85,0.00,221
UE11,edge2,1607.56,389.99,0.00,2
UE12,edge1,1780.25,263.63,0.00,401
UE13,edge3,213.54,2497.68,0.00,409
UE14,edge2,3124.83,155.46,0.00,130
UE15,edge1,1715.04,268.13,0.00,268
UE16,edge3,204.54,2604.43,0.00,346
UE17,edge2,2064.66,237.86,0.00,223
UE18,edge1,1749.15,262.23,0.00,418
UE19,edge3,165.55,3432.99,0.00,37
UE20,edge2,2618.66,193.78,0.00,597
UE21,edge1,1625.20,286.65,0.00,118
UE22,edge3,663.76,1422.06,0.00,714
UE23,edge2,2347.83,215.56,0.00,812
UE24,edge1,1760.14,261.44,0.00,214
UE25,edge3,155.44,3328.83,0.00,158
UE26,edge2,3139.06,157.48,0.00,369
UE27,edge1,1413.82,351.85,0.00,65
UE28,edge3,127.30,3935.06,0.00,93
UE29,edge2,2869.22,174.09,0.00,352
UE30,edge1,1969.93,250.63,0.00,68
OVERALL,,1732.94,792.27,0.00,8153
