UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,824.74,1271.64,0.00,240
UE2,7419.40,136.04,0.00,240
UE3,12440.52,34.81,0.00,240
UE4,647.78,1469.08,0.00,240
UE5,4019.84,300.21,0.00,240
UE6,7180.94,80.36,0.00,240
UE7,489.73,1620.48,0.00,240
UE8,2213.59,369.30,0.00,240
UE9,9378.49,53.23,0.00,240
UE10,280.62,1715.82,0.00,240
UE11,4554.66,259.31,0.00,240
UE12,7817.40,69.14,0.00,240
UE13,326.86,1600.11,0.00,240
UE14,1783.74,347.86,0.00,240
UE15,10449.78,47.07,0.00,240
UE16,703.97,1502.78,0.00,240
UE17,2177.89,343.10,0.00,240
UE18,12264.76,35.86,0.00,240
UE19,503.88,1405.86,0.00,240
UE20,5811.00,224.20,0.00,240
OVERALL,4564.48,644.31,0.00,4800
