UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,4869.64,154.06,0.00,240
UE2,185.41,2628.60,0.00,169
UE3,173.55,2876.00,0.00,156
UE4,204.09,2485.23,0.00,181
UE5,6411.30,84.33,0.00,240
UE6,9469.51,51.48,0.00,240
UE7,4999.26,413.37,0.00,291
UE8,9682.20,51.42,0.00,240
UE9,167.58,2732.52,0.00,170
UE10,7588.65,74.37,0.00,240
UE11,3135.85,730.85,0.00,315
UE12,10200.05,45.92,0.00,240
UE13,7057.86,77.31,0.00,240
UE14,10470.78,45.29,0.00,240
UE15,168.47,2744.59,0.00,202
UE16,195.75,2451.27,0.00,112
UE17,170.41,2882.70,0.00,205
UE18,6386.72,1036.35,0.00,374
OVERALL,5085.70,1002.55,0.00,4095
