UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,3057.30,727.59,0.00,240
UE2,12146.10,36.29,0.00,240
UE3,734.38,1125.08,0.00,240
UE4,1830.26,1134.19,0.00,240
UE5,699.98,1197.17,0.00,240
UE6,2387.30,1217.08,0.00,240
UE7,1958.41,1233.47,0.00,240
UE8,483.31,1337.18,0.00,240
UE9,410.42,1334.16,0.00,240
UE10,387.03,1305.06,0.00,240
UE11,507.10,1366.46,0.00,240
UE12,555.75,1369.19,0.00,240
UE13,11976.30,36.47,0.00,240
UE14,736.64,1162.44,0.00,240
UE15,660.45,1290.82,0.00,240
UE16,671.44,1246.77,0.00,240
UE17,1486.39,1206.94,0.00,240
UE18,1884.34,1134.89,0.00,240
OVERALL,2365.16,1081.18,0.00,4320
