bitrate,packetlost,rtt,server
841.257315628192,0,597.5341796875,edge3
1203.5771521512554,0,595.9036350250244,edge3
1222.0094317183816,0,196.98047637939453,edge3
1445.5252447059468,0,581.6404819488525,edge3
898.1647379552336,0,594.6080684661865,edge3
415.0174094314163,0,1090.1904106140137,edge3
363.1556575863378,0,900.9690284729004,edge3
1208.3488520048695,0,897.528886795044,edge3
341.43040031085593,0,1398.9615440368652,edge3
455.23769953203964,0,1002.3598670959473,edge3
1692.5064374563717,0,392.7807807922363,edge3
3411.6912875440216,0,291.03922843933105,edge3
547.0231230125152,0,689.7697448730469,edge3
450.9666343204616,0,890.2299404144287,edge3
603.0379570905368,0,976.8671989440918,edge3
325.84593507994134,0,581.8700790405273,edge3
548.2291178256311,0,1280.0049781799316,edge3
337.6200539170638,0,989.4909858703613,edge3
394.5589247019757,0,590.897798538208,edge3
487.97511208703605,0,1090.9900665283203,edge3
550.6162541939674,0,902.3053646087646,edge3
348.4653298249006,0,1297.3227500915527,edge3
337.4666425604877,0,1305.4208755493164,edge3
575.8539605769669,0,895.8938121795654,edge3
466.7209689379365,0,692.0280456542969,edge3
521.1061246139758,0,483.75558853149414,edge3
551.2373029467217,0,1070.2178478240967,edge3
494.2915023624094,0,704.2322158813477,edge3
482.05381762351556,0,504.3752193450928,edge3
786.4370680894327,0,1196.2101459503174,edge3
256.8662950989198,0,910.2323055267334,edge3
1700.7443369265093,0,504.52733039855957,edge3
1281.4899314828785,0,394.7155475616455,edge3
850.004102108768,0,384.94873046875,edge3
1317.1369098032703,0,390.5501365661621,edge3
1308.0325399015512,0,383.1219673156738,edge3
1126.4101593672012,0,374.1159439086914,edge3
2054.4473839785705,0,273.24914932250977,edge3
1140.4624834471172,0,367.3527240753174,edge3
899.565827097399,0,370.2230453491211,edge3
441.36238567694573,0,870.4683780670166,edge3
684.5832476625848,0,565.9267902374268,edge3
600.3639037330429,0,666.2359237670898,edge3
639.4492788937623,0,754.361629486084,edge3
329.23741383700496,0,655.6241512298584,edge3
672.5075565076717,0,657.7413082122803,edge3
626.5277404342874,0,448.09508323669434,edge3
483.0362130765127,0,547.0066070556641,edge3
1173.3816446937533,0,655.6093692779541,edge3
1075.6066772004303,0,448.72164726257324,edge3
1225.3322173789152,0,747.1802234649658,edge3
1352.2818216752958,0,542.4253940582275,edge3
806.1802450270391,0,541.0006046295166,edge3
692.7398923482508,0,530.2307605743408,edge3
664.0564735796584,0,432.0716857910156,edge3
421.18612522528883,0,425.6930351257324,edge3
1276.5757763081672,0,419.7854995727539,edge3
751.7291826283572,0,520.4746723175049,edge3
707.4168661044778,0,409.78384017944336,edge3
526.5680591285984,0,512.5415325164795,edge3
534.0657246983163,0,403.80048751831055,edge3
384.4931991654404,0,392.4126625061035,edge3
577.829690267308,0,498.1398582458496,edge3
1907.9308937703404,0,487.0281219482422,edge3
743.2471618828286,0,389.254093170166,edge3
698.885002316698,0,381.29305839538574,edge3
463.3105408210614,0,479.9027442932129,edge3
877.1375514610995,0,484.61270332336426,edge3
1072.418427216515,0,387.12501525878906,edge3
949.6351515247734,0,576.6677856445312,edge3
932.0204303713444,0,476.2728214263916,edge3
958.8419726566501,0,470.11709213256836,edge3
777.4417904621031,0,656.9855213165283,edge3
719.2841106214559,0,458.77838134765625,edge3
493.5981769041335,0,458.41336250305176,edge3
1515.5290011733146,0,358.2432270050049,edge3
523.819418341624,0,350.79264640808105,edge3
784.2067233871738,0,444.2706108093262,edge3
601.5810358831034,0,438.81702423095703,edge3
1079.365009868385,0,432.65438079833984,edge3
469.67636634838385,0,635.8420848846436,edge3
664.3842080533974,0,440.997838973999,edge3
937.8755743265252,0,426.00107192993164,edge3
547.2316421853137,0,530.773401260376,edge3
639.3672421577113,0,423.38109016418457,edge3
177.59061051534863,0,418.31040382385254,edge3
584.7046091702169,0,516.1991119384766,edge3
1080.5498486996705,0,423.79164695739746,edge3
924.6626927654997,0,422.03497886657715,edge3
336.10825229483515,0,625.4651546478271,edge3
683.2336822465027,0,319.7617530822754,edge3
1267.4030370060907,0,520.4658508300781,edge3
574.9467515721825,0,508.24880599975586,edge3
1501.3009677916048,0,409.7139835357666,edge3
613.4956655933273,0,401.3850688934326,edge3
978.3487199595643,0,411.32164001464844,edge3
981.2748475612706,0,502.8071403503418,edge3
673.5127125456783,0,396.35777473449707,edge3
1385.8213344776582,0,392.8067684173584,edge3
407.68938611085656,0,385.07747650146484,edge3
1204.7712214878316,0,488.4512424468994,edge3
1409.6842646985222,0,285.82286834716797,edge3
1955.8283612039963,0,377.5341510772705,edge3
1219.5933312333539,0,281.2609672546387,edge3
401.44001655963683,0,290.255069732666,edge3
1002.5490413139644,0,372.85757064819336,edge3
1582.1791581234215,0,278.30982208251953,edge3
745.1703872908199,0,375.6563663482666,edge3
2775.24527425148,0,470.8282947540283,edge3
652.043444286143,0,552.9079437255859,edge3
1068.706754390106,0,361.61088943481445,edge3
813.599811062931,0,357.61070251464844,edge3
748.5850545554471,0,441.6224956512451,edge3
1357.5428077455683,0,540.6179428100586,edge3
730.418433605152,0,343.6276912689209,edge3
870.1166396267708,0,529.4370651245117,edge3
1288.3402045429057,0,531.5117835998535,edge3
1483.8866493367157,0,423.1104850769043,edge3
810.1030637969883,0,511.61885261535645,edge3
590.3302390878039,0,413.00272941589355,edge3
1454.515382983629,0,417.74463653564453,edge3
603.6394065572588,0,508.9528560638428,edge3
1994.275466214455,0,310.99414825439453,edge3
958.4707500475373,0,304.6853542327881,edge3
976.348310254816,0,382.69948959350586,edge3
1301.676306439935,0,389.88494873046875,edge3
522.9574459488771,0,480.3450107574463,edge3
565.4727279639872,0,479.10356521606445,edge3
1305.2105434434054,0,385.1332664489746,edge3
1520.7010570134887,0,471.635103225708,edge3
894.6544219221588,0,269.0558433532715,edge3
3036.0716953795186,0,276.9289016723633,edge3
948.7508712541169,0,562.9043579101562,edge3
1253.7853672696522,0,360.86559295654297,edge3
928.711270919039,0,352.3075580596924,edge3
1986.9665997530292,0,545.820951461792,edge3
1074.305228772105,0,444.6110725402832,edge3
1013.778410205207,0,450.11019706726074,edge3
1507.9367224668174,0,440.8566951751709,edge3
1574.478023278383,0,630.6445598602295,edge3
884.2526879559985,0,426.7106056213379,edge3
951.1388963264053,0,422.0876693725586,edge3
1139.1395344584507,0,517.1341896057129,edge3
372.9704051252709,0,508.35132598876953,edge3
1351.0446997078766,0,519.4025039672852,edge3
1065.592297410774,0,313.5082721710205,edge3
747.6499668760044,0,311.83576583862305,edge3
1073.638440299376,0,495.8615303039551,edge3
1226.4855808539717,0,405.0793647766113,edge3
1119.3843551090913,0,403.8577079772949,edge3
1093.2180877986211,0,402.9717445373535,edge3
885.2905759127088,0,582.7510356903076,edge3
1178.2122107277262,0,274.13058280944824,edge3
908.6620558259771,0,277.42767333984375,edge3
766.6365243444764,0,769.5224285125732,edge3
625.0237356648961,0,556.9324493408203,edge3
658.3012380877377,0,369.3385124206543,edge3
2067.308510981328,0,455.05738258361816,edge3
1586.5875466263276,0,147.36533164978027,edge3
3447.741706762106,0,248.87943267822266,edge3
2130.4893328861294,0,237.42151260375977,edge3
2144.5746481838282,0,152.5747776031494,edge3
2227.8890260263124,0,230.8948040008545,edge3
2121.2069856716985,0,236.2504005432129,edge3
1849.5984387434337,0,227.83756256103516,edge3
2414.244834909109,0,232.5265407562256,edge3
1848.889221453786,0,226.59659385681152,edge3
1412.5346003432057,0,235.77475547790527,edge3
1689.873813927198,0,227.34951972961426,edge3
1815.8000966535108,0,213.3626937866211,edge3
1815.9028033615193,0,220.26729583740234,edge3
2303.49034626275,0,209.4109058380127,edge3
1094.3778759319607,0,197.24082946777344,edge3
1517.553951926868,0,291.47958755493164,edge3
1450.0654912579273,0,193.60780715942383,edge3
1350.1157710603097,0,195.70469856262207,edge3
4131.219767203951,0,186.21134757995605,edge3
2631.998165470741,0,183.37702751159668,edge3
3270.8057461015087,0,279.91390228271484,edge3
9105.275151449143,0,80.55901527404785,edge3
2493.641610722007,0,174.90243911743164,edge3
1332.9591506816128,0,275.5613327026367,edge3
1700.6842756018457,0,168.70856285095215,edge3
1112.376199961541,0,161.18288040161133,edge3
3218.706091863724,0,166.49174690246582,edge3
2406.4242897129384,0,162.58811950683594,edge3
1921.14673270005,0,150.8932113647461,edge3
1145.133874293391,0,235.68248748779297,edge3
3737.9149434639053,0,57.694196701049805,edge3
1092.2595028159267,0,138.1356716156006,edge3
1233.8003656163644,0,233.29544067382812,edge3
2844.6847462894207,0,326.64990425109863,edge3
2242.410455754682,0,129.01830673217773,edge3
1199.6729846329545,0,222.12719917297363,edge3
1033.9647789397125,0,215.0402069091797,edge3
1373.7158136460757,0,309.4322681427002,edge3
1309.8070377407596,0,316.96271896362305,edge3
1737.3130124014826,0,315.2132034301758,edge3
1069.103256508787,0,415.2040481567383,edge3
2236.0441062567343,0,201.59173011779785,edge3
1698.198340792835,0,300.77052116394043,edge3
1708.4495873167914,0,193.15290451049805,edge3
1176.1622525123714,0,192.3816204071045,edge3
1940.6713266809325,0,279.76298332214355,edge3
1136.7949693983057,0,161.64040565490723,edge3
2151.42230695957,0,161.9393825531006,edge3
1633.483685710197,0,161.6079807281494,edge3
2971.243958502536,0,157.17053413391113,edge3
1881.7359541504234,0,158.7045192718506,edge3
1842.7952805631116,0,158.99324417114258,edge3
2647.2040183243926,0,150.92754364013672,edge3
838.4555091694185,0,346.4179039001465,edge3
1783.0488463292522,0,151.81636810302734,edge3
1636.0968024994095,0,45.40562629699707,edge3
2274.455768231969,0,132.70163536071777,edge3
1956.849870875916,0,234.01284217834473,edge3
1678.550896363312,0,232.48624801635742,edge3
633.2739118602485,0,331.96377754211426,edge3
993.3989177333274,0,219.923734664917,edge3
2886.668896542442,0,228.51252555847168,edge3
1371.1306708908905,0,213.1204605102539,edge3
2945.4990553791004,0,208.82844924926758,edge3
2258.879944431201,0,109.01331901550293,edge3
1997.9723082634139,0,201.41220092773438,edge3
2631.7218302547362,0,187.47878074645996,edge3
1472.5782813854637,0,181.28204345703125,edge3
3156.663185542908,0,172.44791984558105,edge3
581.0552741205487,0,270.1842784881592,edge3
3540.6664717970934,0,166.20373725891113,edge3
1519.76993289508,0,265.1190757751465,edge3
4723.013476757344,0,156.33916854858398,edge3
2162.716174815483,0,158.60795974731445,edge3
819.2939345597924,0,142.22002029418945,edge3
2381.368417455968,0,156.97193145751953,edge3
3250.433905801106,0,135.46991348266602,edge3
2048.2448922445674,0,136.66725158691406,edge3
3838.4092932469634,0,340.41810035705566,edge3
1194.5611694313525,0,301.8012046813965,edge3
2109.853508548549,0,183.1672191619873,edge3
