UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge1,6993.01,80.38,0.00,213
UE2,edge2,8015.70,63.76,0.00,153
UE3,edge3,948.25,545.27,0.00,227
UE4,edge1,6875.13,76.21,0.00,229
UE5,edge1,8262.19,69.69,0.00,56
UE6,edge1,10729.24,41.75,0.00,126
UE7,edge2,7308.36,67.96,0.00,797
UE8,edge1,8038.62,61.48,0.00,102
UE9,edge1,11354.38,38.92,0.00,279
UE10,edge1,7871.74,65.96,0.00,96
UE11,edge1,7999.37,69.61,0.00,191
UE12,edge1,9883.90,51.89,0.00,65
UE13,edge2,5299.08,120.35,0.00,271
UE14,edge2,7283.25,73.47,0.00,140
UE15,edge1,6722.95,80.13,0.00,959
UE16,edge1,11123.19,40.21,0.00,79
UE17,edge1,4789.44,110.22,0.00,219
UE18,edge1,11264.98,39.76,0.00,151
UE19,edge1,5779.10,103.16,0.00,99
UE20,edge1,4181.94,125.49,0.00,113
UE21,edge1,5352.85,108.82,0.00,375
UE22,edge1,9478.36,50.90,0.00,111
UE23,edge1,9037.50,81.78,0.00,65
UE24,edge2,2926.94,179.12,0.00,82
UE25,edge3,902.73,630.76,0.00,139
UE26,edge1,5363.11,109.70,0.00,315
UE27,edge1,5209.39,101.84,0.00,415
UE28,edge1,7380.81,69.79,0.00,904
UE29,edge1,12796.32,39.05,0.00,34
UE30,edge1,11148.65,39.65,0.00,269
UE31,edge2,5860.95,100.69,0.00,360
UE32,edge1,10301.68,58.31,0.00,33
UE33,edge3,1179.85,486.32,0.00,281
UE34,edge2,6251.71,84.95,0.00,1252
OVERALL,,7173.96,119.63,0.00,9200
