UE_ID,Edge,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,edge3,210.67,5456.31,0.00,213
UE2,edge3,203.23,5284.91,0.00,153
UE3,edge3,89.40,7294.02,0.00,148
UE4,edge3,99.35,5860.75,0.00,229
UE5,edge2,3721.18,134.83,0.00,56
UE6,edge3,66.48,8076.79,0.00,126
UE7,edge3,255.14,3105.65,0.00,797
UE8,edge3,62.94,8536.31,0.00,102
UE9,edge3,107.53,5739.92,0.00,279
UE10,edge3,52.68,9398.27,0.00,96
UE11,edge1,1651.34,279.32,0.00,191
UE12,edge2,3682.20,132.86,0.00,65
UE13,edge3,109.77,5656.54,0.00,271
UE14,edge3,74.10,7849.76,0.00,140
UE15,edge2,3024.89,156.99,0.00,959
UE16,edge1,2061.11,236.64,0.00,79
UE17,edge3,102.39,6084.42,0.00,219
UE18,edge2,2760.24,190.38,0.00,151
UE19,edge3,66.77,8433.71,0.00,99
UE20,edge3,62.94,8514.14,0.00,113
UE21,edge1,1783.25,258.95,0.00,375
UE22,edge2,3485.56,135.22,0.00,111
UE23,edge1,2080.02,236.49,0.00,65
UE24,edge2,3117.77,159.44,0.00,82
UE25,edge1,1953.67,243.15,0.00,139
UE26,edge2,2015.79,235.53,0.00,315
UE27,edge2,2568.69,189.32,0.00,415
UE28,edge3,295.56,2508.22,0.00,904
UE29,edge2,2806.12,200.04,0.00,34
UE30,edge1,1935.81,239.37,0.00,269
UE31,edge2,3097.11,147.18,0.00,360
UE32,edge1,2264.69,235.89,0.00,33
UE33,edge1,1775.38,258.70,0.00,281
UE34,edge3,547.12,1821.08,0.00,1252
OVERALL,,1245.58,2452.34,0.00,9121
