UE_ID,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,Samples
UE1,3133.19,358.13,0.00,240
UE2,9342.66,56.81,0.00,240
UE3,1166.17,1100.88,0.00,240
UE4,3164.74,368.46,0.00,240
UE5,3516.35,371.45,0.00,240
UE6,8158.38,63.19,0.00,240
UE7,1152.92,509.76,0.00,240
UE8,3779.21,412.05,0.00,240
UE9,635.52,1195.80,0.00,240
UE10,10366.81,45.16,0.00,240
UE11,538.17,1290.93,0.00,240
UE12,398.66,1273.01,0.00,240
UE13,8774.70,57.78,0.00,240
UE14,12361.03,34.87,0.00,240
UE15,672.31,1244.55,0.00,236
UE16,10822.50,43.12,0.00,240
UE17,4180.17,399.61,0.00,240
UE18,2490.56,391.90,0.00,240
OVERALL,4706.74,511.40,0.00,4316
