UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,59.73,8636.42,100.73,0.06,3.63,243
UE2,42.96,6142.33,58.67,0.00,2.82,241
UE3,27.73,3916.63,25.04,-0.01,2.04,242
UE4,23.50,3498.49,33.56,-0.00,1.83,241
UE5,42.54,6607.91,71.36,0.13,2.77,238
UE6,39.40,6552.35,73.44,0.16,2.63,237
UE7,44.07,5843.18,43.96,0.00,2.56,242
OVERALL,40.01,5884.53,58.07,0.05,2.61,1684
